Building,Location Region,Location EPW,Vintage,Heating Fuel,Usage Level,Geometry Foundation Type,Geometry House Size,Geometry Stories,Geometry Garage,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Combined,HVAC System Combined,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted
1366,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Medium,Heated Basement,1500-2499,1,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Oil Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.2,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour7,None,Day190
1367,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Fuel Oil,Medium,Unheated Basement,0-1499,1,1 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Furnace, 90% AFUE",None,None,None,None,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour18,None,Day263
1368,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Fuel Oil,Medium,Unheated Basement,2500-3499,1,1 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour12,None,Day69
1369,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1980s,Natural Gas,Medium,Unheated Basement,0-1499,1,2 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour10,Hour11,None,Day155
1370,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Medium,Unheated Basement,0-1499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour14,None,Day201
1371,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Medium,Unheated Basement,1500-2499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour11,Hour19,None,Day357
1372,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Low,Unheated Basement,2500-3499,2+,1 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,68F,72F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour14,None,Day298
1373,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Medium,Unheated Basement,2500-3499,2+,1 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Uninsulated, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Oil Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 90% AFUE",None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 10.5,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage",None,100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour12,Hour18,None,Day297
1374,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Medium,Unheated Basement,1500-2499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour13,None,Day250
1375,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1970s,Fuel Oil,High,Unheated Basement,0-1499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Clear, Single, Metal",Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Furnace, 80% AFUE",None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour11,Hour17,None,Day3
1376,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1990s,Natural Gas,Low,Unheated Basement,2500-3499,1,2 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,R-19,"Wood Stud, R-11","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",7 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,Day326
1377,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1970s,Natural Gas,High,Unheated Basement,0-1499,1,2 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Clear, Single, Metal",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.2,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour14,Hour12,None,Day173
1378,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Fuel Oil,Low,Unheated Basement,1500-2499,2+,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 80% AFUE",None,None,None,None,68F,72F,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour11,Hour19,None,Day96
1379,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Low,Heated Basement,0-1499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 10.2,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,20 ACH50,"Year-Round, 3 days/wk",None,Hour10,Hour20,None,Day199
1380,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Natural Gas,Medium,Unheated Basement,1500-2499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,Day136
1381,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Low,Heated Basement,1500-2499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,68F,72F,National Average,None,EF 10.5,"Gas, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour18,None,Day241
1382,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Natural Gas,Medium,Unheated Basement,2500-3499,2+,1 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour15,None,Day87
1383,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Fuel Oil,Medium,Unheated Basement,0-1499,2+,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Oil Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Wall/Floor Furnace, 60% AFUE",None,None,"AC, SEER 13",Central,68F,72F,National Average,None,EF 15.9,"Propane, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour7,None,Day47
1384,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1960s,Natural Gas,Medium,Heated Basement,0-1499,1,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 8",Central,68F,72F,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour13,None,Day261
1385,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,<1950,Fuel Oil,Medium,Unheated Basement,0-1499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Boiler, 90% AFUE",None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour19,None,Day333
1386,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Natural Gas,Medium,Slab,0-1499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-49, Vented","Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,72F,National Average,None,EF 10.2,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour4,None,Day147
1387,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1950s,Fuel Oil,Medium,Crawl,0-1499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented","Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Oil Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,None,"Oil Wall/Floor Furnace, 68% AFUE",None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour14,None,Day354
1388,CR07,1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw,1970s,Propane,Medium,Unheated Basement,2500-3499,2+,3 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Clear, Double, Non-metal, Air",Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,None,"Propane Boiler, 72% AFUE",None,None,None,"AC, SEER 13",Central,68F,72F,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour22,None,Day302
