occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,extra_refrigerator,freezer,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_fixtures
0.41,0.427,0.248,0.303,0.697,0.697,0.697,0.517,0.517,0.801,0.801,0.593,0.0963,0.639,1,0.323,0.27,0.323,0.323,0.557,0.557,0.151,0.162,0.92
0.246,0.424,0.21,0.316,0.697,0.697,0.697,0.579,0.579,0.943,0.943,0.84,0.114,0.639,1,0.313,0.252,0.313,0.313,0.803,0.803,0.12,0.128,0.77
0.246,0.411,0.165,0.277,0.68,0.68,0.68,0.499,0.499,0.921,0.921,0.963,0.128,0.639,1,0.323,0.27,0.323,0.323,0.842,0.842,0.0945,0.101,0.644
0.246,0.394,0.113,0.33,0.68,0.68,0.68,0.428,0.428,0.823,0.823,1,0.142,0.654,1,0.323,0.283,0.323,0.323,0.803,0.803,0.0882,0.0944,0.54
0.246,0.382,0.09,0.376,0.714,0.714,0.714,0.365,0.365,0.735,0.735,0.914,0.149,0.669,1,0.313,0.258,0.313,0.313,0.796,0.796,0.0882,0.0944,0.46
0.246,0.378,0.0825,0.303,0.714,0.714,0.714,0.41,0.41,0.658,0.658,0.827,0.169,0.669,1,0.313,0.233,0.313,0.313,0.597,0.597,0.0882,0.0944,0.402
0.246,0.379,0.0825,0.376,0.714,0.714,0.714,0.321,0.321,0.537,0.537,0.704,0.179,0.654,1,0.313,0.301,0.313,0.313,0.497,0.497,0.151,0.162,0.379
0.246,0.387,0.09,0.29,0.697,0.697,0.697,0.339,0.339,0.57,0.57,0.753,0.2,0.684,1,0.323,0.362,0.323,0.323,0.405,0.405,0.365,0.391,0.356
0.295,0.417,0.143,0.607,0.748,0.748,0.748,0.339,0.339,0.548,0.548,0.679,0.25,0.713,1,0.441,0.676,0.441,0.441,0.245,0.245,0.794,0.849,0.448
0.541,0.501,0.278,0.989,0.815,0.815,0.815,0.437,0.437,0.537,0.537,0.667,0.307,0.773,1,0.558,0.989,0.558,0.558,0.153,0.153,0.769,0.822,0.586
0.885,0.655,0.368,0.771,0.849,0.849,0.849,0.775,0.775,0.537,0.537,0.63,0.413,0.788,1,0.646,0.706,0.646,0.646,0.0862,0.0862,0.428,0.458,0.69
0.885,0.829,0.488,0.396,0.815,0.815,0.815,0.989,0.989,0.537,0.537,0.63,0.578,0.743,1,0.744,0.43,0.744,0.744,0.0531,0.0531,0.384,0.411,0.69
0.885,0.905,0.683,0.231,0.798,0.798,0.798,0.802,0.802,0.537,0.537,0.642,0.713,0.698,1,0.793,0.27,0.793,0.793,0.0265,0.0265,0.321,0.344,0.632
1,0.821,0.788,0.165,0.781,0.781,0.781,0.597,0.597,0.515,0.515,0.667,0.676,0.669,1,0.842,0.117,0.842,0.842,0.0199,0.0199,0.271,0.29,0.552
1,0.51,0.683,0.105,0.748,0.748,0.748,0.392,0.392,0.351,0.351,0.543,0.409,0.594,1,0.735,0.0799,0.735,0.735,0.0199,0.0199,0.151,0.162,0.437
1,0.249,0.473,0.0725,0.697,0.697,0.697,0.276,0.276,0.186,0.186,0.296,0.177,0.535,1,0.637,0.043,0.637,0.637,0.0199,0.0199,0.151,0.162,0.299
1,0.124,0.345,0.0462,0.68,0.68,0.68,0.134,0.134,0.0987,0.0987,0.123,0.0727,0.52,1,0.431,0.0246,0.431,0.431,0.0199,0.0199,0.151,0.162,0.138
1,0.0743,0.345,0.0462,0.663,0.663,0.663,0.0624,0.0624,0.0768,0.0768,0.0741,0.0354,0.49,1,0.225,0.00614,0.225,0.225,0.0199,0.0199,0.183,0.196,0.069
1,0.0495,0.345,0.0264,0.646,0.646,0.646,0.0446,0.0446,0.0439,0.0439,0.0494,0.0177,0.476,1,0.186,0.00614,0.186,0.186,0.0199,0.0199,0.151,0.162,0.046
1,0.0495,0.345,0.0264,0.629,0.629,0.629,0.0267,0.0267,0.0439,0.0439,0.0247,0.0138,0.461,1,0.147,0.0123,0.147,0.147,0.0265,0.0265,0.183,0.196,0.0575
1,0.0529,0.345,0.0462,0.612,0.612,0.612,0.0267,0.0267,0.0768,0.0768,0.0494,0.0216,0.476,1,0.157,0.043,0.157,0.157,0.0531,0.0531,0.296,0.317,0.115
1,0.14,0.278,0.0725,0.612,0.612,0.612,0.0891,0.0891,0.121,0.121,0.0741,0.0354,0.49,1,0.176,0.0737,0.176,0.176,0.0995,0.0995,0.422,0.452,0.391
1,0.33,0.263,0.165,0.646,0.646,0.646,0.178,0.178,0.241,0.241,0.198,0.057,0.55,1,0.255,0.178,0.255,0.255,0.172,0.172,0.359,0.384,0.897
0.869,0.417,0.255,0.277,0.68,0.68,0.68,0.276,0.276,0.537,0.537,0.395,0.0786,0.624,1,0.323,0.283,0.323,0.323,0.292,0.292,0.151,0.162,1
0.41,0.427,0.248,0.303,0.697,0.697,0.697,0.517,0.517,0.801,0.801,0.593,0.0963,0.639,1,0.323,0.27,0.323,0.323,0.557,0.557,0.151,0.162,0.92
0.246,0.424,0.21,0.316,0.697,0.697,0.697,0.579,0.579,0.943,0.943,0.84,0.114,0.639,1,0.313,0.252,0.313,0.313,0.803,0.803,0.12,0.128,0.77
0.246,0.411,0.165,0.277,0.68,0.68,0.68,0.499,0.499,0.921,0.921,0.963,0.128,0.639,1,0.323,0.27,0.323,0.323,0.842,0.842,0.0945,0.101,0.644
0.246,0.394,0.113,0.33,0.68,0.68,0.68,0.428,0.428,0.823,0.823,1,0.142,0.654,1,0.323,0.283,0.323,0.323,0.803,0.803,0.0882,0.0944,0.54
0.246,0.382,0.09,0.376,0.714,0.714,0.714,0.365,0.365,0.735,0.735,0.914,0.149,0.669,1,0.313,0.258,0.313,0.313,0.796,0.796,0.0882,0.0944,0.46
0.246,0.378,0.0825,0.303,0.714,0.714,0.714,0.41,0.41,0.658,0.658,0.827,0.169,0.669,1,0.313,0.233,0.313,0.313,0.597,0.597,0.0882,0.0944,0.402
0.246,0.379,0.0825,0.376,0.714,0.714,0.714,0.321,0.321,0.537,0.537,0.704,0.179,0.654,1,0.313,0.301,0.313,0.313,0.497,0.497,0.151,0.162,0.379
0.246,0.387,0.09,0.29,0.697,0.697,0.697,0.339,0.339,0.57,0.57,0.753,0.2,0.684,1,0.323,0.362,0.323,0.323,0.405,0.405,0.365,0.391,0.356
0.295,0.417,0.143,0.607,0.748,0.748,0.748,0.339,0.339,0.548,0.548,0.679,0.25,0.713,1,0.441,0.676,0.441,0.441,0.245,0.245,0.794,0.849,0.448
0.541,0.501,0.278,0.989,0.815,0.815,0.815,0.437,0.437,0.537,0.537,0.667,0.307,0.773,1,0.558,0.989,0.558,0.558,0.153,0.153,0.769,0.822,0.586
0.885,0.655,0.368,0.771,0.849,0.849,0.849,0.775,0.775,0.537,0.537,0.63,0.413,0.788,1,0.646,0.706,0.646,0.646,0.0862,0.0862,0.428,0.458,0.69
0.885,0.829,0.488,0.396,0.815,0.815,0.815,0.989,0.989,0.537,0.537,0.63,0.578,0.743,1,0.744,0.43,0.744,0.744,0.0531,0.0531,0.384,0.411,0.69
0.885,0.905,0.683,0.231,0.798,0.798,0.798,0.802,0.802,0.537,0.537,0.642,0.713,0.698,1,0.793,0.27,0.793,0.793,0.0265,0.0265,0.321,0.344,0.632
1,0.821,0.788,0.165,0.781,0.781,0.781,0.597,0.597,0.515,0.515,0.667,0.676,0.669,1,0.842,0.117,0.842,0.842,0.0199,0.0199,0.271,0.29,0.552
1,0.51,0.683,0.105,0.748,0.748,0.748,0.392,0.392,0.351,0.351,0.543,0.409,0.594,1,0.735,0.0799,0.735,0.735,0.0199,0.0199,0.151,0.162,0.437
1,0.249,0.473,0.0725,0.697,0.697,0.697,0.276,0.276,0.186,0.186,0.296,0.177,0.535,1,0.637,0.043,0.637,0.637,0.0199,0.0199,0.151,0.162,0.299
1,0.124,0.345,0.0462,0.68,0.68,0.68,0.134,0.134,0.0987,0.0987,0.123,0.0727,0.52,1,0.431,0.0246,0.431,0.431,0.0199,0.0199,0.151,0.162,0.138
1,0.0743,0.345,0.0462,0.663,0.663,0.663,0.0624,0.0624,0.0768,0.0768,0.0741,0.0354,0.49,1,0.225,0.00614,0.225,0.225,0.0199,0.0199,0.183,0.196,0.069
1,0.0495,0.345,0.0264,0.646,0.646,0.646,0.0446,0.0446,0.0439,0.0439,0.0494,0.0177,0.476,1,0.186,0.00614,0.186,0.186,0.0199,0.0199,0.151,0.162,0.046
1,0.0495,0.345,0.0264,0.629,0.629,0.629,0.0267,0.0267,0.0439,0.0439,0.0247,0.0138,0.461,1,0.147,0.0123,0.147,0.147,0.0265,0.0265,0.183,0.196,0.0575
1,0.0529,0.345,0.0462,0.612,0.612,0.612,0.0267,0.0267,0.0768,0.0768,0.0494,0.0216,0.476,1,0.157,0.043,0.157,0.157,0.0531,0.0531,0.296,0.317,0.115
1,0.14,0.278,0.0725,0.612,0.612,0.612,0.0891,0.0891,0.121,0.121,0.0741,0.0354,0.49,1,0.176,0.0737,0.176,0.176,0.0995,0.0995,0.422,0.452,0.391
1,0.33,0.263,0.165,0.646,0.646,0.646,0.178,0.178,0.241,0.241,0.198,0.057,0.55,1,0.255,0.178,0.255,0.255,0.172,0.172,0.359,0.384,0.897
0.869,0.417,0.255,0.277,0.68,0.68,0.68,0.276,0.276,0.537,0.537,0.395,0.0786,0.624,1,0.323,0.283,0.323,0.323,0.292,0.292,0.151,0.162,1
0.41,0.427,0.248,0.303,0.697,0.697,0.697,0.517,0.517,0.801,0.801,0.593,0.0963,0.639,1,0.323,0.27,0.323,0.323,0.557,0.557,0.151,0.162,0.92
0.246,0.424,0.21,0.316,0.697,0.697,0.697,0.579,0.579,0.943,0.943,0.84,0.114,0.639,1,0.313,0.252,0.313,0.313,0.803,0.803,0.12,0.128,0.77
0.246,0.411,0.165,0.277,0.68,0.68,0.68,0.499,0.499,0.921,0.921,0.963,0.128,0.639,1,0.323,0.27,0.323,0.323,0.842,0.842,0.0945,0.101,0.644
0.246,0.394,0.113,0.33,0.68,0.68,0.68,0.428,0.428,0.823,0.823,1,0.142,0.654,1,0.323,0.283,0.323,0.323,0.803,0.803,0.0882,0.0944,0.54
0.246,0.382,0.09,0.376,0.714,0.714,0.714,0.365,0.365,0.735,0.735,0.914,0.149,0.669,1,0.313,0.258,0.313,0.313,0.796,0.796,0.0882,0.0944,0.46
0.246,0.378,0.0825,0.303,0.714,0.714,0.714,0.41,0.41,0.658,0.658,0.827,0.169,0.669,1,0.313,0.233,0.313,0.313,0.597,0.597,0.0882,0.0944,0.402
0.246,0.379,0.0825,0.376,0.714,0.714,0.714,0.321,0.321,0.537,0.537,0.704,0.179,0.654,1,0.313,0.301,0.313,0.313,0.497,0.497,0.151,0.162,0.379
0.246,0.387,0.09,0.29,0.697,0.697,0.697,0.339,0.339,0.57,0.57,0.753,0.2,0.684,1,0.323,0.362,0.323,0.323,0.405,0.405,0.365,0.391,0.356
0.295,0.417,0.143,0.607,0.748,0.748,0.748,0.339,0.339,0.548,0.548,0.679,0.25,0.713,1,0.441,0.676,0.441,0.441,0.245,0.245,0.794,0.849,0.448
0.541,0.501,0.278,0.989,0.815,0.815,0.815,0.437,0.437,0.537,0.537,0.667,0.307,0.773,1,0.558,0.989,0.558,0.558,0.153,0.153,0.769,0.822,0.586
0.885,0.655,0.368,0.771,0.849,0.849,0.849,0.775,0.775,0.537,0.537,0.63,0.413,0.788,1,0.646,0.706,0.646,0.646,0.0862,0.0862,0.428,0.458,0.69
0.885,0.829,0.488,0.396,0.815,0.815,0.815,0.989,0.989,0.537,0.537,0.63,0.578,0.743,1,0.744,0.43,0.744,0.744,0.0531,0.0531,0.384,0.411,0.69
0.885,0.905,0.683,0.231,0.798,0.798,0.798,0.802,0.802,0.537,0.537,0.642,0.713,0.698,1,0.793,0.27,0.793,0.793,0.0265,0.0265,0.321,0.344,0.632
1,0.821,0.788,0.165,0.781,0.781,0.781,0.597,0.597,0.515,0.515,0.667,0.676,0.669,1,0.842,0.117,0.842,0.842,0.0199,0.0199,0.271,0.29,0.552
1,0.51,0.683,0.105,0.748,0.748,0.748,0.392,0.392,0.351,0.351,0.543,0.409,0.594,1,0.735,0.0799,0.735,0.735,0.0199,0.0199,0.151,0.162,0.437
1,0.249,0.473,0.0725,0.697,0.697,0.697,0.276,0.276,0.186,0.186,0.296,0.177,0.535,1,0.637,0.043,0.637,0.637,0.0199,0.0199,0.151,0.162,0.299
1,0.124,0.345,0.0462,0.68,0.68,0.68,0.134,0.134,0.0987,0.0987,0.123,0.0727,0.52,1,0.431,0.0246,0.431,0.431,0.0199,0.0199,0.151,0.162,0.138
1,0.0743,0.345,0.0462,0.663,0.663,0.663,0.0624,0.0624,0.0768,0.0768,0.0741,0.0354,0.49,1,0.225,0.00614,0.225,0.225,0.0199,0.0199,0.183,0.196,0.069
1,0.0495,0.345,0.0264,0.646,0.646,0.646,0.0446,0.0446,0.0439,0.0439,0.0494,0.0177,0.476,1,0.186,0.00614,0.186,0.186,0.0199,0.0199,0.151,0.162,0.046
1,0.0495,0.345,0.0264,0.629,0.629,0.629,0.0267,0.0267,0.0439,0.0439,0.0247,0.0138,0.461,1,0.147,0.0123,0.147,0.147,0.0265,0.0265,0.183,0.196,0.0575
1,0.0529,0.345,0.0462,0.612,0.612,0.612,0.0267,0.0267,0.0768,0.0768,0.0494,0.0216,0.476,1,0.157,0.043,0.157,0.157,0.0531,0.0531,0.296,0.317,0.115
1,0.14,0.278,0.0725,0.612,0.612,0.612,0.0891,0.0891,0.121,0.121,0.0741,0.0354,0.49,1,0.176,0.0737,0.176,0.176,0.0995,0.0995,0.422,0.452,0.391
1,0.33,0.263,0.165,0.646,0.646,0.646,0.178,0.178,0.241,0.241,0.198,0.057,0.55,1,0.255,0.178,0.255,0.255,0.172,0.172,0.359,0.384,0.897
0.869,0.417,0.255,0.277,0.68,0.68,0.68,0.276,0.276,0.537,0.537,0.395,0.0786,0.624,1,0.323,0.283,0.323,0.323,0.292,0.292,0.151,0.162,1
0.41,0.427,0.248,0.303,0.697,0.697,0.697,0.517,0.517,0.801,0.801,0.593,0.0963,0.639,1,0.323,0.27,0.323,0.323,0.557,0.557,0.151,0.162,0.92
0.246,0.424,0.21,0.316,0.697,0.697,0.697,0.579,0.579,0.943,0.943,0.84,0.114,0.639,1,0.313,0.252,0.313,0.313,0.803,0.803,0.12,0.128,0.77
0.246,0.411,0.165,0.277,0.68,0.68,0.68,0.499,0.499,0.921,0.921,0.963,0.128,0.639,1,0.323,0.27,0.323,0.323,0.842,0.842,0.0945,0.101,0.644
0.246,0.394,0.113,0.33,0.68,0.68,0.68,0.428,0.428,0.823,0.823,1,0.142,0.654,1,0.323,0.283,0.323,0.323,0.803,0.803,0.0882,0.0944,0.54
0.246,0.382,0.09,0.376,0.714,0.714,0.714,0.365,0.365,0.735,0.735,0.914,0.149,0.669,1,0.313,0.258,0.313,0.313,0.796,0.796,0.0882,0.0944,0.46
0.246,0.378,0.0825,0.303,0.714,0.714,0.714,0.41,0.41,0.658,0.658,0.827,0.169,0.669,1,0.313,0.233,0.313,0.313,0.597,0.597,0.0882,0.0944,0.402
0.246,0.379,0.0825,0.376,0.714,0.714,0.714,0.321,0.321,0.537,0.537,0.704,0.179,0.654,1,0.313,0.301,0.313,0.313,0.497,0.497,0.151,0.162,0.379
0.246,0.387,0.09,0.29,0.697,0.697,0.697,0.339,0.339,0.57,0.57,0.753,0.2,0.684,1,0.323,0.362,0.323,0.323,0.405,0.405,0.365,0.391,0.356
0.295,0.417,0.143,0.607,0.748,0.748,0.748,0.339,0.339,0.548,0.548,0.679,0.25,0.713,1,0.441,0.676,0.441,0.441,0.245,0.245,0.794,0.849,0.448
0.541,0.501,0.278,0.989,0.815,0.815,0.815,0.437,0.437,0.537,0.537,0.667,0.307,0.773,1,0.558,0.989,0.558,0.558,0.153,0.153,0.769,0.822,0.586
0.885,0.655,0.368,0.771,0.849,0.849,0.849,0.775,0.775,0.537,0.537,0.63,0.413,0.788,1,0.646,0.706,0.646,0.646,0.0862,0.0862,0.428,0.458,0.69
0.885,0.829,0.488,0.396,0.815,0.815,0.815,0.989,0.989,0.537,0.537,0.63,0.578,0.743,1,0.744,0.43,0.744,0.744,0.0531,0.0531,0.384,0.411,0.69
0.885,0.905,0.683,0.231,0.798,0.798,0.798,0.802,0.802,0.537,0.537,0.642,0.713,0.698,1,0.793,0.27,0.793,0.793,0.0265,0.0265,0.321,0.344,0.632
1,0.821,0.788,0.165,0.781,0.781,0.781,0.597,0.597,0.515,0.515,0.667,0.676,0.669,1,0.842,0.117,0.842,0.842,0.0199,0.0199,0.271,0.29,0.552
1,0.51,0.683,0.105,0.748,0.748,0.748,0.392,0.392,0.351,0.351,0.543,0.409,0.594,1,0.735,0.0799,0.735,0.735,0.0199,0.0199,0.151,0.162,0.437
1,0.249,0.473,0.0725,0.697,0.697,0.697,0.276,0.276,0.186,0.186,0.296,0.177,0.535,1,0.637,0.043,0.637,0.637,0.0199,0.0199,0.151,0.162,0.299
1,0.124,0.345,0.0462,0.68,0.68,0.68,0.134,0.134,0.0987,0.0987,0.123,0.0727,0.52,1,0.431,0.0246,0.431,0.431,0.0199,0.0199,0.151,0.162,0.138
1,0.0743,0.345,0.0462,0.663,0.663,0.663,0.0624,0.0624,0.0768,0.0768,0.0741,0.0354,0.49,1,0.225,0.00614,0.225,0.225,0.0199,0.0199,0.183,0.196,0.069
1,0.0495,0.345,0.0264,0.646,0.646,0.646,0.0446,0.0446,0.0439,0.0439,0.0494,0.0177,0.476,1,0.186,0.00614,0.186,0.186,0.0199,0.0199,0.151,0.162,0.046
1,0.0495,0.345,0.0264,0.629,0.629,0.629,0.0267,0.0267,0.0439,0.0439,0.0247,0.0138,0.461,1,0.147,0.0123,0.147,0.147,0.0265,0.0265,0.183,0.196,0.0575
1,0.0529,0.345,0.0462,0.612,0.612,0.612,0.0267,0.0267,0.0768,0.0768,0.0494,0.0216,0.476,1,0.157,0.043,0.157,0.157,0.0531,0.0531,0.296,0.317,0.115
1,0.14,0.278,0.0725,0.612,0.612,0.612,0.0891,0.0891,0.121,0.121,0.0741,0.0354,0.49,1,0.176,0.0737,0.176,0.176,0.0995,0.0995,0.422,0.452,0.391
1,0.33,0.263,0.165,0.646,0.646,0.646,0.178,0.178,0.241,0.241,0.198,0.057,0.55,1,0.255,0.178,0.255,0.255,0.172,0.172,0.359,0.384,0.897
0.869,0.417,0.255,0.277,0.68,0.68,0.68,0.276,0.276,0.537,0.537,0.395,0.0786,0.624,1,0.323,0.283,0.323,0.323,0.292,0.292,0.151,0.162,1
0.41,0.427,0.248,0.303,0.697,0.697,0.697,0.517,0.517,0.801,0.801,0.593,0.0963,0.639,1,0.323,0.27,0.323,0.323,0.557,0.557,0.151,0.162,0.92
0.246,0.424,0.21,0.316,0.697,0.697,0.697,0.579,0.579,0.943,0.943,0.84,0.114,0.639,1,0.313,0.252,0.313,0.313,0.803,0.803,0.12,0.128,0.77
0.246,0.411,0.165,0.277,0.68,0.68,0.68,0.499,0.499,0.921,0.921,0.963,0.128,0.639,1,0.323,0.27,0.323,0.323,0.842,0.842,0.0945,0.101,0.644
0.246,0.394,0.113,0.33,0.68,0.68,0.68,0.428,0.428,0.823,0.823,1,0.142,0.654,1,0.323,0.283,0.323,0.323,0.803,0.803,0.0882,0.0944,0.54
0.246,0.382,0.09,0.376,0.714,0.714,0.714,0.365,0.365,0.735,0.735,0.914,0.149,0.669,1,0.313,0.258,0.313,0.313,0.796,0.796,0.0882,0.0944,0.46
0.246,0.378,0.0825,0.303,0.714,0.714,0.714,0.41,0.41,0.658,0.658,0.827,0.169,0.669,1,0.313,0.233,0.313,0.313,0.597,0.597,0.0882,0.0944,0.402
0.246,0.379,0.0825,0.376,0.714,0.714,0.714,0.321,0.321,0.537,0.537,0.704,0.179,0.654,1,0.313,0.301,0.313,0.313,0.497,0.497,0.151,0.162,0.379
0.246,0.387,0.09,0.29,0.697,0.697,0.697,0.339,0.339,0.57,0.57,0.753,0.2,0.684,1,0.323,0.362,0.323,0.323,0.405,0.405,0.365,0.391,0.356
0.295,0.417,0.143,0.607,0.748,0.748,0.748,0.339,0.339,0.548,0.548,0.679,0.25,0.713,1,0.441,0.676,0.441,0.441,0.245,0.245,0.794,0.849,0.448
0.541,0.501,0.278,0.989,0.815,0.815,0.815,0.437,0.437,0.537,0.537,0.667,0.307,0.773,1,0.558,0.989,0.558,0.558,0.153,0.153,0.769,0.822,0.586
0.885,0.655,0.368,0.771,0.849,0.849,0.849,0.775,0.775,0.537,0.537,0.63,0.413,0.788,1,0.646,0.706,0.646,0.646,0.0862,0.0862,0.428,0.458,0.69
0.885,0.829,0.488,0.396,0.815,0.815,0.815,0.989,0.989,0.537,0.537,0.63,0.578,0.743,1,0.744,0.43,0.744,0.744,0.0531,0.0531,0.384,0.411,0.69
0.885,0.905,0.683,0.231,0.798,0.798,0.798,0.802,0.802,0.537,0.537,0.642,0.713,0.698,1,0.793,0.27,0.793,0.793,0.0265,0.0265,0.321,0.344,0.632
1,0.821,0.788,0.165,0.781,0.781,0.781,0.597,0.597,0.515,0.515,0.667,0.676,0.669,1,0.842,0.117,0.842,0.842,0.0199,0.0199,0.271,0.29,0.552
1,0.51,0.683,0.105,0.748,0.748,0.748,0.392,0.392,0.351,0.351,0.543,0.409,0.594,1,0.735,0.0799,0.735,0.735,0.0199,0.0199,0.151,0.162,0.437
1,0.249,0.473,0.0725,0.697,0.697,0.697,0.276,0.276,0.186,0.186,0.296,0.177,0.535,1,0.637,0.043,0.637,0.637,0.0199,0.0199,0.151,0.162,0.299
1,0.124,0.345,0.0462,0.68,0.68,0.68,0.134,0.134,0.0987,0.0987,0.123,0.0865,0.52,1,0.431,0.0246,0.431,0.431,0.0199,0.0199,0.151,0.162,0.138
1,0.0743,0.345,0.0462,0.663,0.663,0.663,0.0624,0.0624,0.0768,0.0768,0.0741,0.0432,0.49,1,0.225,0.00614,0.225,0.225,0.0199,0.0199,0.183,0.196,0.069
1,0.0495,0.338,0.0264,0.646,0.646,0.646,0.0446,0.0446,0.0439,0.0439,0.0494,0.0236,0.476,1,0.186,0.00614,0.186,0.186,0.0199,0.0199,0.151,0.162,0.046
1,0.0495,0.338,0.0264,0.629,0.629,0.629,0.0267,0.0267,0.0439,0.0439,0.0247,0.0157,0.461,1,0.147,0.0123,0.147,0.147,0.0265,0.0265,0.183,0.196,0.0575
1,0.0529,0.345,0.0462,0.612,0.612,0.612,0.0267,0.0267,0.0768,0.0768,0.0494,0.0216,0.476,1,0.157,0.043,0.157,0.157,0.0531,0.0531,0.296,0.317,0.115
1,0.14,0.338,0.0725,0.612,0.612,0.612,0.0891,0.0891,0.121,0.121,0.0741,0.0275,0.49,1,0.176,0.0737,0.176,0.176,0.0995,0.0995,0.422,0.452,0.391
1,0.33,0.33,0.165,0.646,0.646,0.646,0.178,0.178,0.241,0.241,0.198,0.0472,0.55,1,0.255,0.178,0.255,0.255,0.172,0.172,0.359,0.384,0.897
0.869,0.417,0.308,0.277,0.68,0.68,0.68,0.276,0.276,0.537,0.537,0.395,0.0845,0.624,1,0.323,0.283,0.323,0.323,0.292,0.292,0.151,0.162,1
0.41,0.427,0.27,0.303,0.697,0.697,0.697,0.517,0.517,0.801,0.801,0.593,0.14,0.639,1,0.323,0.27,0.323,0.323,0.557,0.557,0.151,0.162,0.92
0.246,0.424,0.225,0.316,0.697,0.697,0.697,0.579,0.579,0.943,0.943,0.84,0.185,0.639,1,0.313,0.252,0.313,0.313,0.803,0.803,0.12,0.128,0.77
0.246,0.411,0.18,0.277,0.68,0.68,0.68,0.499,0.499,0.921,0.921,0.963,0.22,0.639,1,0.323,0.27,0.323,0.323,0.842,0.842,0.0945,0.101,0.644
0.246,0.394,0.12,0.33,0.68,0.68,0.68,0.428,0.428,0.823,0.823,1,0.242,0.654,1,0.323,0.283,0.323,0.323,0.803,0.803,0.0882,0.0944,0.54
0.246,0.382,0.09,0.376,0.714,0.714,0.714,0.365,0.365,0.735,0.735,0.914,0.259,0.669,1,0.313,0.258,0.313,0.313,0.796,0.796,0.0882,0.0944,0.46
0.246,0.378,0.0825,0.303,0.714,0.714,0.714,0.41,0.41,0.658,0.658,0.827,0.307,0.669,1,0.313,0.233,0.313,0.313,0.597,0.597,0.0882,0.0944,0.402
0.246,0.379,0.0825,0.376,0.714,0.714,0.714,0.321,0.321,0.537,0.537,0.704,0.35,0.654,1,0.313,0.301,0.313,0.313,0.497,0.497,0.151,0.162,0.379
0.246,0.387,0.09,0.29,0.697,0.697,0.697,0.339,0.339,0.57,0.57,0.753,0.385,0.684,1,0.323,0.362,0.323,0.323,0.405,0.405,0.365,0.391,0.356
0.295,0.417,0.143,0.607,0.748,0.748,0.748,0.339,0.339,0.548,0.548,0.679,0.405,0.713,1,0.441,0.676,0.441,0.441,0.245,0.245,0.794,0.849,0.448
0.541,0.501,0.285,0.989,0.815,0.815,0.815,0.437,0.437,0.537,0.537,0.667,0.419,0.773,1,0.558,0.989,0.558,0.558,0.153,0.153,0.769,0.822,0.586
0.885,0.655,0.36,0.771,0.849,0.849,0.849,0.775,0.775,0.537,0.537,0.63,0.493,0.788,1,0.646,0.706,0.646,0.646,0.0862,0.0862,0.428,0.458,0.69
0.885,0.829,0.45,0.396,0.815,0.815,0.815,0.989,0.989,0.537,0.537,0.63,0.649,0.743,1,0.744,0.43,0.744,0.744,0.0531,0.0531,0.384,0.411,0.69
0.885,0.905,0.623,0.231,0.798,0.798,0.798,0.802,0.802,0.537,0.537,0.642,0.763,0.698,1,0.793,0.27,0.793,0.793,0.0265,0.0265,0.321,0.344,0.632
1,0.821,0.735,0.165,0.781,0.781,0.781,0.597,0.597,0.515,0.515,0.667,0.704,0.669,1,0.842,0.117,0.842,0.842,0.0199,0.0199,0.271,0.29,0.552
1,0.51,0.638,0.105,0.748,0.748,0.748,0.392,0.392,0.351,0.351,0.543,0.444,0.594,1,0.735,0.0799,0.735,0.735,0.0199,0.0199,0.151,0.162,0.437
1,0.249,0.443,0.0725,0.697,0.697,0.697,0.276,0.276,0.186,0.186,0.296,0.202,0.535,1,0.637,0.043,0.637,0.637,0.0199,0.0199,0.151,0.162,0.299
1,0.124,0.345,0.0462,0.68,0.68,0.68,0.134,0.134,0.0987,0.0987,0.123,0.0865,0.52,1,0.431,0.0246,0.431,0.431,0.0199,0.0199,0.151,0.162,0.138
1,0.0743,0.345,0.0462,0.663,0.663,0.663,0.0624,0.0624,0.0768,0.0768,0.0741,0.0432,0.49,1,0.225,0.00614,0.225,0.225,0.0199,0.0199,0.183,0.196,0.069
1,0.0495,0.338,0.0264,0.646,0.646,0.646,0.0446,0.0446,0.0439,0.0439,0.0494,0.0236,0.476,1,0.186,0.00614,0.186,0.186,0.0199,0.0199,0.151,0.162,0.046
1,0.0495,0.338,0.0264,0.629,0.629,0.629,0.0267,0.0267,0.0439,0.0439,0.0247,0.0157,0.461,1,0.147,0.0123,0.147,0.147,0.0265,0.0265,0.183,0.196,0.0575
1,0.0529,0.345,0.0462,0.612,0.612,0.612,0.0267,0.0267,0.0768,0.0768,0.0494,0.0216,0.476,1,0.157,0.043,0.157,0.157,0.0531,0.0531,0.296,0.317,0.115
1,0.14,0.338,0.0725,0.612,0.612,0.612,0.0891,0.0891,0.121,0.121,0.0741,0.0275,0.49,1,0.176,0.0737,0.176,0.176,0.0995,0.0995,0.422,0.452,0.391
